X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-73.0069,42.6631,train,3.3595149325220207E-4,19.769432605832503,0.48199939751325116
-79.4189,39.3002,train,0.001017269820900054,86.8198230765711,0.8635465109868179
-79.1944,39.3912,train,8.878589534381945E-4,70.77744873358739,0.824196860320043
-80.0926,38.3088,train,0.0010819529373599294,91.2829727581878,0.8797783648139093
-78.5098,39.0985,train,9.812357460152765E-4,83.08619263323659,0.853571534718389
-81.7729,38.968,train,5.329985949761881E-4,29.490164973504235,0.6478115224987004
-80.2492,37.9459,train,8.882461246973333E-4,70.8299631450227,0.8243300800292853
-76.0079,39.2347,train,8.481434978550357E-4,65.87325120051153,0.8099806263185073
-80.5625,38.6126,train,8.107410969595899E-4,60.78466317260591,0.7955428620203454
-77.4019,39.3516,train,9.863779323847196E-4,83.77487188006555,0.855038406737041
-79.8054,39.5269,train,8.082629344125796E-4,60.29687635449588,0.7945483971053834
-80.3102,38.9629,train,0.0010717192109151702,90.52826555842286,0.8773451633532213
-80.5348,38.2905,train,0.0010671054646518722,90.24838578923575,0.8762321386314785
-78.8166,38.9166,train,7.746678977918714E-4,54.810267813046096,0.7805798985241134
-75.391,40.032,train,7.461401147650364E-4,51.03322988147437,0.7679751770427172
-79.942833,39.75,train,6.81080828770091E-4,41.784009124489685,0.7364540586784373
-80.4307,38.9554,train,7.611822158588657E-4,52.865717080498385,0.7747090763348334
-80.2686,37.8917,train,6.003119797431411E-4,34.0114343965379,0.6913000691241149
-80.3022,39.055,train,9.887960489153086E-4,84.2202572852877,0.8557231154138214
-78.5609,39.0945,train,9.220257071547221E-4,76.05699825525191,0.8355728228990991
-79.6187,39.1992,train,7.655849689111148E-4,53.78465401335952,0.7766428285088091
-83.7165,33.0509,train,1.5018834688353692E-4,11.26345480772199,0.25477005507112616
-73.0328,42.6398,train,3.920857277852309E-4,21.86647289726673,0.5359149009660151
-78.4479,38.8719,train,9.768375028958538E-4,82.10261086735831,0.8523051099108369
-80.1863,38.3979,train,7.90863241585405E-4,57.68792279733033,0.7874285083969665
-80.4886,38.2658,train,0.0010499036812653046,89.25227079543772,0.8719925977069269
-80.0347,38.0353,train,7.907403697798824E-4,57.66990597546546,0.7873773622588787
-82.2694,38.0621,train,3.698506907124154E-4,20.885838490624785,0.5152645856977669
-79.8709,39.1106,train,7.437012014196718E-4,50.619081960677434,0.7668645416254195
-76.4285,39.5024,train,8.016519779728297E-4,59.23815208225586,0.7918717509989379
-79.8197,39.5156,train,8.584078671679007E-4,67.2103530350372,0.8137613658081714
-77.2663,38.9371,train,0.001046093752152551,89.04235968745489,0.8710341328785869
-80.8931,37.5506,train,3.740341741087763E-4,21.11428070869534,0.519218877254591
-79.4567,39.0156,train,8.641614677759917E-4,68.08027405178849,0.8158476280623341
-75.4881,39.9841,train,6.095718769962647E-4,34.69294272646909,0.6968465179164871
-80.572,38.2442,train,9.719390338204937E-4,81.54740351110938,0.8508817540022755
-82.0939,37.6814,train,5.264378141739674E-4,29.004839517490602,0.6432582209022185
-81.6905,37.5887,train,6.608847996462876E-4,39.0826086641291,0.7258238789294026
-79.7681,38.9498,train,8.953650652570765E-4,71.84382119301934,0.8267616843447055
-76.5505,39.2717,train,8.08060874881537E-4,60.22661614025114,0.7944670994293436
-80.2392,37.6192,train,4.078054932227589E-4,22.286488621936805,0.5499812269040856
-79.7966,39.642,train,7.13040070011178E-4,46.17967279586273,0.7524400301918879
-76.8172,39.0495,train,0.0012064990821113065,96.27475075500729,0.9057942807588065
-77.3974,39.4773,train,7.616873288288013E-4,52.974526257048005,0.7749317766450596
